merge_id	annotation.TG	distanceToTSS.TG	score.TG	signalValue.TG	pValue.TG	qValue.TG	annotation.WT	distanceToTSS.WT	score.WT	signalValue.WT	pValue.WT	qValue.WT
chr1:10303011:10303554	Promoter (<=1kb)	-116	1000	19.20709	-1	-1	NA	NA	NA	NA	NA	NA
chr1:106098728:106099559	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	22.3192	-1	-1
chr1:106098829:106099430	Promoter (<=1kb)	0	1000	36.1687	-1	-1	NA	NA	NA	NA	NA	NA
chr1:118315765:118317186	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	59.14396	-1	-1
chr1:118315886:118317305	Promoter (<=1kb)	0	1000	37.45973	-1	-1	NA	NA	NA	NA	NA	NA
chr1:120043798:120044188	NA	NA	NA	NA	NA	NA	3' UTR	3680	1000	18.24775	-1	-1
chr1:121255429:121255844	Promoter (<=1kb)	0	1000	14.58512	-1	-1	NA	NA	NA	NA	NA	NA
chr1:125363099:125363801	Promoter (<=1kb)	0	1000	36.61965	-1	-1	NA	NA	NA	NA	NA	NA
chr1:125363240:125363747	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	16.66962	-1	-1
chr1:127701425:127702039	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	73.791	-1	-1
chr1:127701489:127702334	Promoter (<=1kb)	0	1000	31.6666	-1	-1	NA	NA	NA	NA	NA	NA
chr1:128029882:128031193	Promoter (<=1kb)	0	1000	23.65854	-1	-1	NA	NA	NA	NA	NA	NA
chr1:128029983:128030829	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	23.4064	-1	-1
chr1:128171621:128172261	Promoter (<=1kb)	0	1000	25.9166	-1	-1	NA	NA	NA	NA	NA	NA
chr1:131305779:131306427	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	25.7245	-1	-1
chr1:131455249:131455726	Promoter (<=1kb)	0	1000	15.58482	-1	-1	NA	NA	NA	NA	NA	NA
chr1:132952717:132953470	Promoter (<=1kb)	0	1000	23.32353	-1	-1	NA	NA	NA	NA	NA	NA
chr1:133011469:133012284	NA	NA	NA	NA	NA	NA	Intron (ENSMUST00000077730.7/ENSMUSG00000026447.18, intron 12 of 32)	15152	1000	48.8584	-1	-1
chr1:133058449:133059305	Promoter (<=1kb)	0	1000	34.6435	-1	-1	NA	NA	NA	NA	NA	NA
chr1:133058540:133059024	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	26.3937	-1	-1
chr1:133537672:133538225	Promoter (<=1kb)	0	1000	25.33532	-1	-1	NA	NA	NA	NA	NA	NA
chr1:133588945:133589460	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	26.2979	-1	-1
chr1:133588958:133589529	Promoter (<=1kb)	0	1000	34.3438	-1	-1	NA	NA	NA	NA	NA	NA
chr1:134202276:134202703	NA	NA	NA	NA	NA	NA	Distal Intergenic	6026	1000	27.2864	-1	-1
chr1:134422125:134422694	Promoter (<=1kb)	0	1000	17.09359	-1	-1	NA	NA	NA	NA	NA	NA
