peak_id	WT	TG
1:9615315:9616217	1	0
1:9770697:9771082	1	0
1:13122119:13122452	1	0
1:13444562:13444801	1	0
1:16174537:16175401	1	0
1:16726752:16727455	1	0
1:16863747:16864093	1	0
1:23295536:23296173	1	0
1:23422278:23422770	1	0
1:24651634:24652486	1	0
1:24717596:24717910	1	0
1:33759063:33759336	1	0
1:34050197:34050526	1	0
1:34478303:34479069	1	0
1:35843635:35843897	1	0
1:36137509:36137923	1	0
1:36575468:36575769	1	0
1:36578449:36578784	1	0
1:36585971:36586609	1	0
1:36730059:36730823	1	0
1:36748824:36749059	1	0
1:37338700:37339027	1	0
1:37468630:37469261	1	0
1:37929404:37929765	1	0
1:38036056:38036557	1	0
1:38280920:38281232	1	0
1:39026322:39026624	1	0
1:39406688:39407398	1	0
1:39493957:39494190	1	0
1:40720334:40720709	1	0
1:40766594:40766919	1	0
1:42890259:42891097	1	0
1:43289411:43289628	1	0
1:44049318:44049579	1	0
1:44059053:44059293	1	0
1:44061681:44062145	1	0
1:44141105:44141675	1	0
1:44157887:44158330	1	0
1:45834037:45834714	1	0
1:51192071:51192305	1	0
1:52856725:52856989	1	0
1:52883914:52884373	1	0
1:54940456:54940806	1	0
1:55091414:55091848	1	0
1:55092264:55092517	1	0
1:55126539:55127650	1	0
1:57013276:57013923	1	0
1:57445382:57446333	1	0
1:58034955:58035286	1	0
1:58625355:58625750	1	0
1:58997118:58997465	1	0
1:59012458:59012871	1	0
1:59541602:59541854	1	0
1:60137364:60137756	1	0
1:60448405:60448737	1	0
1:60801031:60801343	1	0
1:60855046:60855307	1	0
1:63215617:63216547	1	0
1:64571770:64572007	1	0
1:64776846:64777161	1	0
1:65217170:65217678	1	0
1:65218114:65218377	1	0
1:66962131:66962452	1	0
1:66979318:66979558	1	0
1:72622207:72622527	1	0
1:72985450:72985863	1	0
1:73075621:73075975	1	0
1:73080014:73080482	1	0
1:74006014:74006280	1	0
1:74044289:74044527	1	0
1:74053713:74054031	1	0
1:74173345:74173661	1	0
1:74275494:74275753	1	0
1:74323363:74324237	1	0
1:74379375:74379872	1	0
1:74425880:74426142	1	0
1:74436175:74437022	1	0
1:74544779:74545880	1	0
1:74786619:74786835	1	0
1:74793371:74794004	1	0
1:74855898:74856370	1	0
1:75101175:75102027	1	0
1:75156681:75157236	1	0
1:75231027:75231284	1	0
1:75294422:75294635	1	0
1:75320990:75321458	1	0
1:75338322:75338620	1	0
1:75346882:75347326	1	0
1:75350817:75351236	1	0
1:75351802:75352937	1	0
1:75375487:75375844	1	0
1:75377092:75377470	1	0
1:75455929:75456273	1	0
1:79739383:79739677	1	0
1:79753685:79753898	1	0
1:79828142:79828361	1	0
1:79837912:79838191	1	0
1:80187623:80188039	1	0
1:81951130:81951442	1	0
1:82161533:82161809	1	0
1:82261068:82261502	1	0
1:84816780:84817777	1	0
1:86361935:86362345	1	0
1:86415046:86415331	1	0
1:86453702:86454183	1	0
1:86631260:86631860	1	0
1:87079115:87079500	1	0
1:87254641:87255109	1	0
1:87301688:87301914	1	0
1:87542729:87543028	1	0
1:88629889:88630169	1	0
1:89618354:89618660	1	0
1:89925740:89926151	1	0
1:89928885:89929105	1	0
1:91177757:91178397	1	0
1:91278547:91278844	1	0
1:91341035:91341591	1	0
1:91468469:91468849	1	0
1:91943751:91944010	1	0
1:92027574:92027820	1	0
1:92198273:92198607	1	0
1:92758984:92759241	1	0
1:92834414:92835219	1	0
1:93405994:93406787	1	0
1:93563358:93563602	1	0
1:93732069:93732462	1	0
1:93752775:93753176	1	0
1:97697697:97698104	1	0
1:106098728:106099374	1	0
1:118315765:118317113	1	0
1:120043798:120044155	1	0
1:120686276:120686552	1	0
1:121495612:121495822	1	0
1:125363240:125363747	1	0
1:127701430:127702001	1	0
1:128030089:128030637	1	0
1:128171618:128172045	1	0
1:130445614:130445862	1	0
1:131305857:131306299	1	0
1:131455264:131455607	1	0
1:132952903:132953306	1	0
1:133011596:133012284	1	0
1:133058540:133058963	1	0
1:133152538:133152813	1	0
1:133351857:133352161	1	0
1:133537796:133538141	1	0
1:133588945:133589460	1	0
1:134120905:134121210	1	0
1:134202295:134202703	1	0
1:135691380:135691839	1	0
1:135698021:135698350	1	0
1:136054085:136054329	1	0
1:150268357:150269056	1	0
1:150907261:150907633	1	0
1:151630647:151631207	1	0
1:151762019:151762239	1	0
1:152778510:152778934	1	0
1:153208441:153209111	1	0
1:153798445:153798731	1	0
1:155104099:155104327	1	0
1:155292604:155292942	1	0
1:155328883:155329378	1	0
1:155688344:155688594	1	0
1:155848286:155848501	1	0
1:155911773:155912460	1	0
1:156048917:156049275	1	0
1:156579501:156579715	1	0
1:156608446:156608864	1	0
1:156825233:156825502	1	0
1:158541059:158541321	1	0
1:160862048:160862722	1	0
1:161704361:161704740	1	0
1:161796613:161796937	1	0
1:162375866:162376221	1	0
1:163139167:163139378	1	0
1:163607028:163607471	1	0
1:163757313:163757535	1	0
1:164076076:164076885	1	0
1:164134647:164135269	1	0
1:164723891:164724273	1	0
1:165021847:165022220	1	0
1:165064252:165064806	1	0
1:165288493:165288869	1	0
1:165598946:165599472	1	0
1:165830244:165830552	1	0
1:166206364:166207022	1	0
1:167112504:167112793	1	0
1:167135937:167136642	1	0
1:167445508:167445974	1	0
1:168116495:168116727	1	0
1:168207715:168208348	1	0
1:168209666:168210083	1	0
1:168259678:168260284	1	0
1:169359031:169359453	1	0
1:169796299:169796990	1	0
1:171049943:171050172	1	0
1:171074426:171074968	1	0
1:171121927:171122245	1	0
1:171156191:171157340	1	0
1:171910243:171910552	1	0
1:172034144:172034632	1	0
1:172045661:172046186	1	0
1:172111901:172112127	1	0
1:172460279:172460655	1	0
1:175452850:175453426	1	0
1:175520354:175520732	1	0
1:177624079:177624479	1	0
1:177810611:177810840	1	0
1:178014863:178015293	1	0
1:178145944:178146210	1	0
1:178165335:178165583	1	0
1:180553290:180554001	1	0
1:180577598:180577844	1	0
1:181669783:181670625	1	0
1:182267461:182267836	1	0
1:182328382:182328881	1	0
1:182642251:182642554	1	0
1:182644737:182645007	1	0
1:183637709:183638005	1	0
1:183664582:183664938	1	0
1:185094884:185095404	1	0
1:185895294:185895569	1	0
1:186316198:186316507	1	0
1:189544492:189544749	1	0
1:189615048:189615391	1	0
1:189642985:189643545	1	0
1:189655104:189655564	1	0
1:189656330:189656584	1	0
1:190643547:190644382	1	0
1:190778466:190779002	1	0
1:191043632:191043953	1	0
1:191153221:191153446	1	0
1:191188760:191189561	1	0
1:191552968:191553711	1	0
1:191821134:191821666	1	0
1:191822370:191822581	1	0
1:192452963:192453471	1	0
1:192812284:192812519	1	0
1:194677553:194677811	1	0
10:4382121:4382896	1	0
10:7668493:7668714	1	0
10:11156559:11157050	1	0
10:13199927:13200436	1	0
10:13684047:13684350	1	0
10:13840370:13841006	1	0
10:13858506:13858942	1	0
10:13924820:13925116	1	0
10:14580955:14581326	1	0
10:19467347:19467937	1	0
10:20163181:20163440	1	0
10:20767294:20767624	1	0
10:21171685:21171997	1	0
10:21476920:21477322	1	0
10:21876557:21876844	1	0
10:21886005:21886246	1	0
10:22033463:22033689	1	0
10:22521092:22521316	1	0
10:22607215:22608175	1	0
10:23417831:23418057	1	0
10:24025141:24025507	1	0
10:24745637:24745968	1	0
10:29093487:29093733	1	0
10:29189079:29189486	1	0
10:39433826:39434073	1	0
10:39487017:39487341	1	0
10:39536722:39537055	1	0
10:39607762:39608084	1	0
10:40064888:40065322	1	0
10:40204124:40204534	1	0
10:40208998:40209224	1	0
10:41394613:41394850	1	0
10:42106966:42107185	1	0
10:42153638:42153915	1	0
10:42339245:42339523	1	0
10:42354017:42354675	1	0
10:42738313:42738828	1	0
10:42863905:42864329	1	0
10:43359779:43360028	1	0
10:43416779:43417147	1	0
10:43777425:43777761	1	0
10:44257126:44257410	1	0
10:45165731:45166285	1	0
10:51920146:51920394	1	0
10:52041071:52041851	1	0
10:58091009:58091697	1	0
10:58158945:58159562	1	0
10:58440757:58441063	1	0
10:59678873:59679246	1	0
10:59715209:59715722	1	0
10:59787538:59787931	1	0
10:59805662:59805986	1	0
10:59810085:59810367	1	0
10:59838640:59839326	1	0
10:60064864:60065180	1	0
10:60113693:60114048	1	0
10:60123990:60124259	1	0
10:61288518:61288868	1	0
10:61311524:61311875	1	0
10:61372010:61372302	1	0
10:61484221:61484433	1	0
10:62074964:62075402	1	0
10:62487252:62487615	1	0
10:62627958:62628210	1	0
10:62982933:62983196	1	0
10:63037408:63037640	1	0
10:63265325:63265591	1	0
10:66839904:66840306	1	0
10:67385005:67385653	1	0
10:67938875:67939349	1	0
10:69364629:69365050	1	0
10:69858579:69858828	1	0
10:70073769:70073994	1	0
10:70078582:70078794	1	0
10:70894570:70894918	1	0
10:71183423:71183941	1	0
10:75352150:75352548	1	0
10:75424248:75424523	1	0
10:75608758:75609460	1	0
10:75664225:75664514	1	0
10:75771947:75772212	1	0
10:75868295:75868787	1	0
10:76180224:76180444	1	0
10:76252780:76253245	1	0
10:76500557:76500782	1	0
10:77095051:77095378	1	0
