seqnames	start	end	width	strand	Conc	Conc_TG	Conc_WT	Fold	p.value	FDR
1	63215984	63216384	401	*	9.72893976278647	7.63457113042897	10.5492857967548	-2.87148757454656	3.99016159695604e-111	2.50622049904809e-107
2	157870387	157870787	401	*	9.73531804159214	7.79326521463574	10.5342014739345	-2.69459969222454	2.62786318823322e-93	8.25280434264641e-90
1	57445659	57446059	401	*	9.56883333138114	7.60190807778621	10.3714007772514	-2.72087099310945	1.42794644148445e-90	2.98964386632128e-87
5	31684064	31684464	401	*	9.49861547448936	7.40668468032138	10.3186379118048	-2.85281154136764	6.27307396837593e-88	9.85029439884231e-85
16	18066396	18066796	401	*	9.35075832740224	7.50227503255423	10.1351080707166	-2.58595279581333	7.22550942954705e-78	9.07668494539701e-75
10	116417228	116417628	401	*	9.09608680888952	7.10828056037799	9.90169132261887	-2.73329787316	2.15265130110458e-72	2.25346713703965e-69
15	57939463	57939863	401	*	9.04842599069861	7.11052251031488	9.84668770432188	-2.6755801511301	1.72631144607791e-69	1.54899459897363e-66
9	110162214	110162614	401	*	9.08215076879593	7.23988226202535	9.86549600840155	-2.56300754383594	1.73631999217033e-62	1.36322823385273e-59
9	124195772	124196172	401	*	8.70303950067579	6.72263728463014	9.50757287994587	-2.71783789521859	2.75085559711501e-62	1.91979155616438e-59
X	169014720	169015120	401	*	8.3209352628648	5.95861052722035	9.17335165032864	-3.10931370850844	3.80551075166656e-61	2.39024130312176e-58
5	77122320	77122720	401	*	8.74053947736409	6.65382060142467	9.55986800735457	-2.82037754857624	1.84170853656285e-60	1.05161557437739e-57
4	155887858	155888258	401	*	8.82161893650789	6.8493776711833	9.6249643626039	-2.69876027577263	2.55540874967334e-59	1.33754352972485e-56
1	55127041	55127441	401	*	9.23777479285354	7.64090238197103	9.97711061592704	-2.29139701902054	6.05151646218488e-58	2.92381345376794e-55
9	108337479	108337879	401	*	8.67802321063689	6.80536571941826	9.46623285105281	-2.59309691784677	1.18578382344104e-56	5.31993442502369e-54
1	74545234	74545634	401	*	8.98643965567044	7.34067575785748	9.73526397579847	-2.34319907017895	4.62045929336175e-56	1.93474032144034e-53
6	86503030	86503430	401	*	8.74963720478032	6.97904366685382	9.52102577407183	-2.48070121212496	7.89656238871165e-55	3.09989427271862e-52
6	125121900	125122300	401	*	8.56172079330142	6.68299206828569	9.35088810947186	-2.59377666400608	4.05336109382314e-53	1.49759770766489e-50
10	77457922	77458322	401	*	8.78138607424877	6.94984285058259	9.56298590059683	-2.53933523404517	1.11446705759996e-52	3.88887088265853e-50
10	93425335	93425735	401	*	8.50205997105884	6.48016032846438	9.3125164519045	-2.74061479224609	1.34549333628942e-52	4.4479177080178e-50
5	142353160	142353560	401	*	9.02546705912001	7.35564382574459	9.77882184038701	-2.36252556300316	1.89642645368429e-52	5.95572727779552e-50
8	86281800	86282200	401	*	8.92076216202176	7.29894728937832	9.66498659898403	-2.31396099116831	2.56506002937358e-52	7.67197240214068e-50
3	8988660	8989060	401	*	9.13762369923341	7.55309248510669	9.87450302060684	-2.26734073373172	4.75074164462428e-52	1.35633673954023e-49
2	5849808	5850208	401	*	8.71788668470043	6.75382620191199	9.52003351622919	-2.67871075113485	5.31745913440773e-52	1.45212873144413e-49
17	80597424	80597824	401	*	8.49066519885934	6.54926812387425	9.28945051312041	-2.65730665247278	8.60176201861719e-52	2.25115280162227e-49
13	74085720	74086120	401	*	8.45203920954556	6.56801026507945	9.24203877671902	-2.60402286297589	1.02436220636368e-51	2.57360760726811e-49
4	117146498	117146898	401	*	9.08612360647091	7.47014554830609	9.82921309343994	-2.30059632015557	6.67475741653567e-51	1.61246735897156e-48
10	93983686	93984086	401	*	8.97534451947778	7.43654253884028	9.70289809139716	-2.21536057251878	3.90335652612047e-50	9.08036382983802e-48
13	73476383	73476783	401	*	9.0906615731989	7.67307415100602	9.7916890956045	-2.07798701459524	1.98610749780256e-49	4.45526471203497e-47
12	104718200	104718600	401	*	8.52306072690502	6.7204196418351	9.29988116648533	-2.50682400371088	3.08282830138399e-49	6.67698088310098e-47
2	127049979	127050379	401	*	8.68081742648924	6.82067648151813	9.46703791321254	-2.56185067464398	3.0346110523433e-48	6.35346400658942e-46
2	179898949	179899349	401	*	8.49575366813501	6.68900536431442	9.27326011895613	-2.50513209711687	4.05200505072327e-47	8.20988507212673e-45
19	45986435	45986835	401	*	8.7469480011419	7.15950966210795	9.48440825351831	-2.27461377680189	1.03315761658184e-46	2.02789468429705e-44
13	43551607	43552007	401	*	8.72422684541293	7.05692386410257	9.47711125095606	-2.3486290090115	1.4272606058359e-44	2.71655268644099e-42
1	34478392	34478792	401	*	8.40413475823181	6.57246063598727	9.18575597786929	-2.52637434790922	3.36734249512007e-44	6.22067006230857e-42
5	31854789	31855189	401	*	8.43832090391223	6.72884408172669	9.19894984956808	-2.39557454994266	1.00470595629088e-43	1.80301660327514e-41
7	126794961	126795361	401	*	8.54945301082564	6.84399819023807	9.30935487806275	-2.39118771639336	1.16211082999815e-43	2.02756058978289e-41
16	20120939	20121339	401	*	8.36320544012291	6.55650548258575	9.14070382911865	-2.5027076048874	1.72654336919372e-43	2.9309240275421e-41
10	128509740	128510140	401	*	8.7258303658633	7.26243231228512	9.43720369968561	-2.12573103453157	2.32603634847044e-43	3.84469323809021e-41
2	104847227	104847627	401	*	8.49906407942983	6.90851959337369	9.23714348363854	-2.26728776450573	3.71768910085837e-43	5.98738595961318e-41
2	174257644	174258044	401	*	8.43912608177255	6.83403902626955	9.18008311809791	-2.28646609077068	6.63429383298799e-43	1.04174998912494e-40
2	23046314	23046714	401	*	8.34752959612484	6.58745589738585	9.11710409721845	-2.44769690934748	7.18065119652825e-43	1.10004073574132e-40
9	14411677	14412077	401	*	8.48559694901513	6.84248561586397	9.23391626095511	-2.32273004759833	7.4302914413768e-43	1.1111823938878e-40
16	56941784	56942184	401	*	9.0440219868141	7.59008351142839	9.75329182553217	-2.10950709169141	8.97967944148292e-43	1.31165968771987e-40
4	3835476	3835876	401	*	8.69173571446305	7.20248740243601	9.4087721682676	-2.15099027058476	1.19975438125296e-42	1.7126493792386e-40
8	71921854	71922254	401	*	8.33427562478025	6.63152860656549	9.09368663821586	-2.38627544259777	3.00120063191543e-42	4.1736205118298e-40
11	106163847	106164247	401	*	8.72463222010817	7.13194474274958	9.46313785832718	-2.26285160864685	3.05662384244819e-42	4.1736205118298e-40
11	83644328	83644728	401	*	8.42999478666015	6.77293823340135	9.1809567381178	-2.3362624776283	4.82028724609438e-42	6.44174982823805e-40
12	55126946	55127346	401	*	8.80840417576622	7.31885187849692	9.52550649218121	-2.14775478996172	6.00361728780063e-42	7.85598337180744e-40
7	97345657	97346057	401	*	8.19910024983478	6.43182772690452	8.9699178089144	-2.45460096277351	1.36610202557448e-41	1.75111975972108e-39
8	106434674	106435074	401	*	8.15912541541062	6.44549284557801	8.92050310821993	-2.40488779769063	7.88774595085738e-41	9.90858646346704e-39
12	85385943	85386343	401	*	8.36372890383628	6.68335964403061	9.11904144088423	-2.35744586791189	9.59626108014874e-41	1.181845408714e-38
2	37320742	37321142	401	*	8.29415124452975	6.6256529531439	9.04725886235351	-2.3461295794359	1.59181569301276e-40	1.92272968611792e-38
3	37474203	37474603	401	*	8.10746108010187	6.32588092086992	8.88072773757395	-2.46766982321822	2.80469688088895e-40	3.32383039789877e-38
7	101545438	101545838	401	*	8.5286090187974	6.86559046436574	9.28069154420308	-2.33590427073785	1.48715953290377e-39	1.72978685669789e-37
8	70735345	70735745	401	*	8.06549603074461	6.3519967715458	8.8268497442739	-2.39681439298627	3.69068629614862e-39	4.21476375020172e-37
1	171156365	171156765	401	*	8.35788915139262	6.77293823340135	9.0948524290017	-2.2516672540485	4.43643563415223e-39	4.9759378960911e-37
13	92981071	92981471	401	*	8.09071040238729	6.33983709256678	8.85868559430194	-2.43480134958662	4.94659291020396e-39	5.45079825771774e-37
2	154498597	154498997	401	*	8.96526059168914	7.70620836801667	9.62717583228121	-1.87938906267147	6.20721147127947e-39	6.72198193984592e-37
7	89590181	89590581	401	*	8.58152048603856	7.05533495993043	9.30643776654449	-2.18511013235124	7.64341647817941e-39	8.13699981346523e-37
2	157209326	157209726	401	*	8.23275543502895	6.46750336428371	9.00322484613232	-2.43894544890364	1.16972753822547e-37	1.22450977793236e-35
13	18118630	18119030	401	*	8.35278203070437	6.85107866512588	9.07250327387053	-2.15692279645525	3.86334724918676e-37	3.97798099543312e-35
1	190643782	190644182	401	*	7.8757449649259	6.09784574456644	8.64838425541598	-2.45822906720233	5.16038992619605e-37	5.22780792361893e-35
18	36916078	36916478	401	*	8.04713356311942	6.24715712487663	8.82350771731338	-2.47368577740108	1.13000351596558e-36	1.12659556885394e-34
13	18167752	18168152	401	*	8.01987161584484	6.34318883250152	8.77450172639106	-2.35046324527884	2.15668566137127e-36	2.11658478735515e-34
12	84408563	84408963	401	*	8.26914274687918	6.67333363696552	9.00826791134254	-2.25692762063301	3.03424685063762e-36	2.93201607213152e-34
10	119075846	119076246	401	*	8.61067361326831	7.21935661652471	9.30558353652435	-2.02775262098478	5.48666188708716e-36	5.22147322921128e-34
5	130250940	130251340	401	*	8.68642333004928	7.32479801447031	9.37425118457575	-1.99462834390027	6.99366712990762e-36	6.55630197655966e-34
9	69919631	69920031	401	*	8.21489759304819	6.64048678045245	8.94974355703502	-2.23118259099561	1.83918892617514e-35	1.69881553607442e-33
19	43741211	43741611	401	*	8.0709811515317	6.35836119751334	8.83217663433403	-2.3796967469672	3.46536702996016e-35	3.15448845147533e-33
11	106146711	106147111	401	*	8.28862604309992	6.77597235395282	9.01068457584027	-2.16906981652036	6.89715346531636e-35	6.18871727366458e-33
14	75991826	75992226	401	*	8.50143540116521	7.09088417767201	9.20083784071765	-2.04586332726614	2.54007491311652e-34	2.24707190553308e-32
9	44329153	44329553	401	*	8.33475514536296	6.85877560956646	9.04890020845253	-2.12162055414205	4.5144495205573e-34	3.93823019980839e-32
5	21941940	21942340	401	*	7.99804994899095	6.42305517052521	8.73301370782285	-2.23210628389188	5.94685052951652e-34	5.11673536656072e-32
1	167136077	167136477	401	*	8.16747637574937	6.67997599507357	8.88413378815594	-2.13389666868001	1.51178888830602e-33	1.28318189289867e-31
3	88084926	88085326	401	*	8.36807119496012	6.86410037116519	9.08827818442111	-2.14946728871421	1.57383837069e-33	1.31803717417385e-31
9	44318738	44319138	401	*	8.45725110104872	7.12546966995952	9.13777586093456	-1.95885243953268	3.15911949589719e-33	2.61084599391187e-31
3	89121028	89121428	401	*	8.03117306080127	6.44211110392255	8.76895715020472	-2.24152840496249	3.50544187465914e-33	2.85943901490052e-31
8	84731425	84731825	401	*	8.10811480739994	6.54636298384806	8.8403931165589	-2.21118113335528	4.22270358766449e-33	3.40035913257958e-31
5	3852942	3853342	401	*	8.34549424385652	6.87172833839902	9.05915377455853	-2.11355460439983	4.46784483815685e-33	3.55221942132445e-31
4	119177512	119177912	401	*	7.98307858161832	6.42981461584817	8.71362002688252	-2.20583143267493	4.60708365491133e-33	3.61713655456226e-31
10	80736571	80736971	401	*	8.99585911913599	7.88427737628762	9.61617679948133	-1.69398792834691	6.06189602171001e-33	4.70058875461242e-31
15	99149628	99150028	401	*	8.2790873717133	6.78914099124244	8.9962750465806	-2.13144051953466	6.59464786993404e-33	5.05133942329947e-31
2	34661604	34662004	401	*	8.22991455026918	6.7531260144108	8.94423683098749	-2.11774674971208	1.11767008229133e-32	8.45793468297813e-31
10	79819513	79819913	401	*	7.91663396863402	6.30397327409974	8.65907595548843	-2.26841510339444	1.55250411272898e-32	1.16086646810128e-30
2	153187707	153188107	401	*	7.97778234953047	6.46536755646373	8.69979012044763	-2.16522909032546	1.87642863055013e-32	1.38657037982181e-30
19	5416695	5417095	401	*	8.60772302895676	7.22102805751283	9.30154232720282	-2.01219858983601	8.12203892953751e-32	5.93192168795641e-30
6	113022994	113023394	401	*	8.59955899764565	7.32588092086992	9.26531197395872	-1.88430647998434	8.47952904182326e-32	6.12183010479217e-30
11	101333014	101333414	401	*	8.29759831543025	6.95471999470246	8.98086058373827	-1.96675614482818	1.60824117762275e-31	1.14788214052824e-29
19	6126873	6127273	401	*	8.26421555089959	6.77611095990721	8.98100405037579	-2.12566981359738	1.96762229062797e-31	1.38861074240834e-29
5	31359171	31359571	401	*	8.28420874861022	6.82207783619785	8.99530128923692	-2.10058060791279	2.57092104887867e-31	1.79421723422299e-29
9	110946955	110947355	401	*	8.34690324899035	6.92501753643002	9.04891871828295	-2.0511968416544	3.88180203642532e-31	2.67929654843818e-29
19	23664521	23664921	401	*	8.04414002828137	6.52463123819318	8.76765083464438	-2.15838713378589	8.62654010074185e-31	5.88948895356082e-29
9	44678973	44679373	401	*	7.90833100322882	6.42779869180673	8.62347181120536	-2.12139341644444	2.26952202768051e-30	1.53278148987756e-28
2	155771776	155772176	401	*	7.68393296110515	6.08277469470294	8.42411600441481	-2.25160793084927	3.94499384173485e-30	2.63601131063155e-28
15	81244853	81245253	401	*	7.98962464262809	6.41917904195016	8.72366924521904	-2.21003651085681	4.67513896359312e-30	3.09100503477141e-28
8	85567097	85567497	401	*	8.33263687188505	6.94482586546521	9.02671990827015	-2.0122278973569	5.04540428334796e-30	3.30106086496964e-28
13	55718753	55719153	401	*	7.99734705392032	6.58344555210977	8.69752449172121	-2.04582339514142	5.71368196771394e-30	3.69975633393931e-28
16	11140508	11140908	401	*	8.30120009714893	6.85708367176699	9.00826791134254	-2.07186307355408	8.92992072396459e-30	5.72335021094098e-28
